HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),N_FacilitiesInApt,SalePrice,TimeToSubway_min,Age,Size_m2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,241592,17.5,32,84.913342
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,10,411504,7.5,10,84.913342
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,3,123008,2.5,47,83.891409
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,115929,7.5,20,53.140516
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,269026,2.5,18,80.639804
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,348672,2.5,18,128.856461
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,295575,2.5,18,129.506782
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,3,61946,7.5,40,62.802428
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,309292,2.5,11,84.913342
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,442477,2.5,18,157.00607
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,77876,12.5,33,32.980565
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,345132,2.5,18,80.639804
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,263345,2.5,12,84.54173
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,10,371681,2.5,11,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,323893,2.5,18,128.856461
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,198230,2.5,17,77.016587
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,372566,2.5,18,131.829357
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,164601,7.5,20,84.913342
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,109734,7.5,20,53.140516
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,247787,2.5,18,129.506782
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,158407,17.5,32,84.913342
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,126548,12.5,33,59.45792
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,172566,2.5,17,77.016587
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,146017,7.5,20,69.026929
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,203539,7.5,20,109.997152
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,161946,7.5,20,84.913342
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,183628,17.5,32,59.829532
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,195575,17.5,32,84.913342
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,309292,2.5,18,129.506782
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,331858,2.5,18,80.639804
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,241592,2.5,17,84.913342
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,138053,17.5,32,84.913342
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,218584,7.5,20,109.997152
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,380530,2.5,17,108.417801
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,277876,2.5,18,131.829357
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,63274,12.5,33,32.980565
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,258079,2.5,12,84.54173
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,231415,2.5,17,84.913342
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,141150,7.5,20,53.140516
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,250176,2.5,12,84.54173
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,1,56637,7.5,11,12.541905
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,242035,2.5,18,80.639804
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,432743,2.5,18,151.338987
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,274336,7.5,20,109.997152
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,74256,7.5,20,53.140516
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,195575,2.5,18,129.506782
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,84955,17.5,32,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,147761,2.5,12,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,143389,2.5,12,59.829532
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,130973,17.5,33,59.829532
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,79646,17.5,33,59.829532
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,151327,2.5,19,75.994654
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,295460,2.5,18,118.265519
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2,72920,7.5,11,19.138018
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,495575,2.5,18,152.63962899999999
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,89380,17.5,33,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,353982,2.5,12,84.263021
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,277876,7.5,20,84.913342
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,285840,2.5,17,77.016587
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,280530,7.5,20,84.913342
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,228318,12.5,39,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,469026,2.5,18,152.63962899999999
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,324778,12.5,39,127.927431
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,243362,17.5,32,217.114311
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,75221,17.5,32,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,343362,2.5,18,128.856461
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,159292,2.5,19,83.891409
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,265486,2.5,18,80.639804
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,318584,2.5,19,84.913342
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,371681,2.5,18,151.338987
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,380530,2.5,12,84.54173
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,10,460176,2.5,11,116.314556
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,3,53097,7.5,39,41.899253
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,376106,2.5,18,123.932602
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,147141,30.0,16,84.54173
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,3,66371,7.5,40,54.534061
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,256637,2.5,18,129.506782
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,203539,7.5,20,69.026929
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,181415,2.5,19,75.994654
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,149274,2.5,12,59.829532
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,334513,2.5,17,84.913342
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,186725,2.5,19,84.913342
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,153097,7.5,20,53.140516
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,3,72566,7.5,40,62.802428
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,256637,2.5,18,129.506782
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,168761,7.5,20,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,402654,2.5,18,152.63962899999999
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,278761,2.5,19,131.179036
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,252212,12.5,19,75.344333
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,370796,2.5,18,137.775149
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,168141,17.5,32,59.829532
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,424778,2.5,19,191.008568
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,383185,2.5,18,137.775149
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,251327,12.5,19,84.54173
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,3,47787,7.5,39,47.194724
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,77876,17.5,32,59.829532
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,262831,2.5,11,59.829532
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,291150,2.5,19,75.994654
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,143362,7.5,20,69.026929
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,199115,7.5,20,84.913342
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,159292,17.5,33,59.829532
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,192035,7.5,20,53.140516
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,44247,12.5,33,53.512128
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,229106,2.5,12,84.54173
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,205309,2.5,19,83.891409
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,74336,12.5,33,32.980565
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,75920,7.5,20,53.140516
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,349557,2.5,11,84.54173
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,241592,2.5,18,129.506782
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,238938,2.5,18,80.639804
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,374336,2.5,18,126.905498
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,265486,2.5,11,59.45792
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,163716,2.5,19,83.891409
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,74256,7.5,20,53.140516
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,193769,30.0,16,107.76748
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,265486,2.5,17,77.016587
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,362831,2.5,12,84.54173
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,186725,7.5,20,109.997152
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,243362,2.5,18,102.472009
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,98477,2.5,12,39.576678
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,34513,12.5,33,32.980565
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2,104424,7.5,11,26.105743
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,10,256637,7.5,10,59.829532
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,362831,2.5,18,131.829357
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,442477,2.5,18,152.63962899999999
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,3,169911,2.5,47,123.282281
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,337168,2.5,18,118.265519
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,415929,2.5,11,101.450076
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,169026,12.5,19,75.344333
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,228761,2.5,18,102.472009
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,337168,2.5,11,84.263021
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,132743,17.5,33,84.913342
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,448672,2.5,18,157.00607
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,53097,12.5,33,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,199115,2.5,18,80.639804
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,462831,2.5,18,157.00607
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,181061,2.5,18,80.639804
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,255442,2.5,12,84.54173
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,178761,2.5,17,84.913342
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,170796,12.5,39,105.07329299999999
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,183185,7.5,20,69.026929
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,149274,2.5,12,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,147761,2.5,12,59.829532
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,207079,30.0,16,107.76748
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,274336,12.5,19,75.344333
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,422123,2.5,18,157.00607
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,271681,7.5,20,84.913342
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,5,78761,17.5,28,51.839874
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,57964,12.5,33,53.512128
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,298230,2.5,19,83.891409
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,162831,30.0,16,84.54173
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,3,119469,17.5,33,84.913342
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,181415,12.5,19,75.344333
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,183628,7.5,20,84.913342
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,141592,7.5,20,69.026929
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,300884,12.5,19,84.54173
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,1,53274,7.5,11,12.541905
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,132743,17.5,32,84.913342
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,10,392035,7.5,10,84.54173
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2,101769,7.5,11,26.756064
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,198256,30.0,16,84.54173
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,566371,2.5,18,152.63962899999999
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,307079,12.5,39,127.927431
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,254867,2.5,19,79.617871
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,348283,2.5,18,179.116984
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,157522,12.5,39,84.913342
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,422123,2.5,18,157.00607
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,291150,2.5,19,106.745547
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,470796,2.5,11,101.078464
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,3,222123,2.5,47,83.891409
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,185840,17.5,32,119.659064
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,252814,2.5,12,84.263021
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,317699,2.5,18,137.775149
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,38938,12.5,33,32.980565
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,227433,2.5,18,102.472009
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,230088,12.5,19,84.54173
terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,7,283185,7.5,10,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,252814,2.5,12,84.54173
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,274336,2.5,18,126.905498
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2,107964,7.5,11,26.756064
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,240707,7.5,20,69.026929
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,168141,7.5,20,84.913342
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,194690,2.5,19,83.891409
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,271681,2.5,18,126.905498
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,281415,2.5,19,131.179036
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,66371,12.5,33,59.45792
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,167964,2.5,19,83.891409
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,261061,2.5,19,131.179036
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,271681,2.5,19,83.891409
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,118584,17.5,32,59.829532
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,115486,17.5,32,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,566371,2.5,18,179.116984
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,194690,17.5,32,163.602183
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,250442,2.5,11,59.45792
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,174336,30.0,16,84.54173
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,307964,2.5,18,80.639804
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,293805,7.5,20,84.913342
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,228318,17.5,32,163.602183
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,82300,17.5,32,59.829532
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,355752,30.0,16,107.76748
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,348672,2.5,18,137.775149
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2,105752,7.5,11,26.756064
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,261061,2.5,19,133.501611
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,252212,2.5,19,131.179036
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,292035,2.5,12,84.54173
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,10,413274,7.5,10,84.54173
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,331858,2.5,17,84.913342
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,215486,2.5,17,77.016587
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,3,225663,2.5,47,83.891409
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,3,61946,12.5,33,53.512128
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,194690,2.5,18,80.639804
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,73840,7.5,20,53.140516
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,324778,2.5,18,102.472009
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,5,90707,17.5,28,84.913342
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,196460,2.5,19,75.994654
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,3,212389,2.5,47,83.891409
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,258079,2.5,12,84.54173
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,110619,17.5,32,84.913342
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,1,60176,7.5,11,14.492868
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,325663,2.5,12,84.54173
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,169026,12.5,39,84.913342
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,132743,17.5,32,84.913342
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,188495,7.5,20,53.140516
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,183185,7.5,20,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,149274,2.5,12,59.829532
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,349557,2.5,19,106.745547
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,4,176991,2.5,19,83.891409
